Site,Aardvark,Aardwolf,African wild cat,Bat-eared fox,Black footed cat,Black-backed jackal,Blesbok,Bushbuck,bushpig,Cape fox,Cape mountain zebra,Caracal,Chacma baboon,Common duiker,Common hare,Eland,Gemsbok,Genet,Greater kudu,Grey mongoose,Grey rhebok,Ground squirrel,Impala,Klipspringer,Marsh mongoose,Meerkat,Porcupine,Red hartebeest,Rock hyrax,Smith’s red rock rabb,Southern mountain reedbuck,Springbok,Springhare,Steenbok,Striped polecat,Vervet monkey,Warthog,Yellow mongoose
1,9,0,0,4,0,0,0,0,0,3,0,2,0,36,0,0,0,18,25,4,0,0,27,0,8,3,3,1,0,0,0,21,0,42,2,46,0,0
2,4,0,0,14,0,0,0,0,0,0,0,2,0,1,8,0,0,1,5,1,0,0,0,0,0,15,6,0,0,0,0,170,0,65,0,67,0,0
3,2,0,0,18,0,2,0,0,0,3,0,0,0,1,101,0,0,0,6,0,0,0,0,0,0,3,2,0,0,0,0,23,0,61,0,1,0,1
4,2,1,0,0,0,4,0,0,0,0,0,0,3,19,7,0,0,0,46,2,0,0,0,2,0,0,4,0,0,8,0,,0,3,1,0,0,0
5,0,2,0,1,0,3,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,0,0,1,2,11,0,0,0,0,39,0,4,0,5,0,0
6,7,0,0,38,0,3,2,0,0,0,0,3,0,18,233,0,0,0,8,5,0,0,0,0,0,9,0,0,0,0,0,,18,82,0,0,0,0
7,3,1,0,0,0,3,0,0,0,3,0,2,13,0,50,41,13,0,25,0,71,0,0,0,0,0,4,2,0,6,7,,0,17,7,0,0,0
8,0,6,3,2,0,0,0,0,0,19,0,0,0,0,81,0,0,0,0,0,0,10,0,0,0,9,25,0,0,3,0,4,0,67,0,0,0,2
9,1,0,7,0,0,9,0,0,0,0,0,0,15,32,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,0,22,3,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,2,0,2,1,0,0,0,1,4,2,0,1,0,0,,0,3,0,0,0,2
11,9,1,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,1,7,0,7,0,0,0,0,4,5,0,0,2,5,5,0,3,0,0,0,0
12,5,10,0,0,2,2,0,0,0,0,0,1,23,0,8,0,0,1,0,1,0,0,0,0,0,5,10,4,0,0,10,8,0,2,0,0,0,1
13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,,0,22,3,0,0,0
14,8,6,0,25,0,0,0,0,0,0,0,2,0,5,14,0,0,0,39,0,0,0,0,0,0,5,7,0,0,2,36,,0,52,0,20,0,5
15,4,1,0,0,0,11,0,0,0,0,0,1,108,284,8,0,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,20,15,0
16,14,0,0,0,0,14,0,15,11,0,0,0,241,97,11,0,0,4,235,0,1,0,0,0,21,0,10,0,0,0,20,,0,0,0,81,0,0
17,5,0,0,0,0,6,12,0,0,0,7,0,102,65,15,1,1,10,201,2,0,0,0,0,0,0,2,12,0,0,0,43,0,3,0,71,0,1
18,2,2,0,1,0,10,143,4,0,0,0,4,182,0,6,0,0,6,32,3,0,0,209,0,0,86,4,0,0,1,230,102,0,2,3,87,0,0
19,1,0,0,0,0,0,0,66,6,0,0,1,74,67,2,0,0,22,168,0,1,0,0,0,0,0,0,0,0,0,3,,0,0,0,90,90,0
20,7,7,0,12,0,1,0,0,0,1,0,0,0,81,44,0,0,3,57,0,1,0,5,0,1,0,11,0,4,0,3,27,0,8,3,55,80,0
21,2,0,0,6,0,4,0,0,1,1,0,1,0,78,28,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,0,,33,29,0,301,0,1
22,7,0,0,18,1,0,0,0,0,0,0,0,0,72,17,0,0,1,21,0,0,0,0,0,0,0,3,0,0,0,0,,0,12,1,0,0,0
23,1,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,,0,40,0,0,0,0
24,0,0,0,0,0,1,0,0,0,0,0,0,107,82,6,0,7,0,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,7,0,0
25,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,7,0,0,0,0
